!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.315224797e-01   9.596729984e-01   2.754861335e-18   0.000000000e+00   4.987650548e-32   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   9.874499035e-01   2.098759427e-15   0.000000000e+00   3.799784212e-29   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.015226809e+00   1.174336315e-12   0.000000000e+00   2.126124858e-26   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.043003714e+00   4.826021337e-10   0.000000000e+00   8.737466261e-24   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.070780619e+00   1.456642239e-07   0.000000000e+00   2.637237081e-21   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.098557524e+00   3.229114734e-05   0.000000000e+00   5.846281870e-19   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.126334429e+00   5.257520422e-03   0.000000000e+00   9.518691299e-17   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.154111334e+00   6.287027726e-01   0.000000000e+00   1.138260459e-14   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.181888239e+00   5.521749469e+01   0.000000000e+00   9.997075504e-13   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.209665144e+00   3.561844338e+03   0.000000000e+00   6.448685689e-11   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.237442050e+00   1.687485650e+05   0.000000000e+00   3.055176906e-09   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.262190891e+00   4.047932763e+06   0.000000000e+00   7.328744214e-08   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.275048141e+00   1.914940310e+07   0.000000000e+00   3.466981428e-07   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.287905392e+00   8.479301835e+07   0.000000000e+00   1.535169626e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.300762643e+00   3.514372984e+08   0.000000000e+00   6.362739249e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
