! Produced on 2013-10-28 18:33:18.643815
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 1.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 5.000e-01 graphite: 2.000e-01 
! 
! iformat =      3
! nrows =    241
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  3.1620000000e+02   4.4093207990e+00   1.7039951214e-01  -8.1868011186e-07
  3.3500000000e+02   3.9357342751e+00   1.3504000272e-01  -8.2159563180e-07
  3.5480000000e+02   3.5162916774e+00   1.0704080176e-01  -8.0685245296e-07
  3.7580000000e+02   3.1437583668e+00   8.4880370300e-02  -8.0385565816e-07
  3.9810000000e+02   2.8132119594e+00   6.7313337542e-02  -7.8181621727e-07
  4.2170000000e+02   2.5195718120e+00   5.3394450163e-02  -7.7447795278e-07
  4.4670000000e+02   2.2588208762e+00   4.2356250577e-02  -7.4768354762e-07
  4.7320000000e+02   2.0271150634e+00   3.3605706887e-02  -7.3747351737e-07
  5.0120000000e+02   1.8211626131e+00   2.6667262360e-02  -7.0847780509e-07
  5.3090000000e+02   1.6379899129e+00   2.1162566589e-02  -6.9613868100e-07
  5.6230000000e+02   1.4751402610e+00   1.6796132997e-02  -6.6557806908e-07
  5.9570000000e+02   1.3301118990e+00   1.3332413468e-02  -6.5223122609e-07
  6.3100000000e+02   1.2010828452e+00   1.0583167563e-02  -6.2156385003e-07
  6.6830000000e+02   1.0861249299e+00   8.4018735429e-03  -6.0776245949e-07
  7.0790000000e+02   9.8377169462e-01   6.6700633924e-03  -5.7698212110e-07
  7.4990000000e+02   8.9252520849e-01   5.2960595422e-03  -5.6287526429e-07
  7.9430000000e+02   8.1121429629e-01   4.2051340335e-03  -5.3305341605e-07
  8.4140000000e+02   7.3871723953e-01   3.3390698788e-03  -5.1903037881e-07
  8.9130000000e+02   6.7405487678e-01   2.6513668480e-03  -4.8997888870e-07
  9.4410000000e+02   6.1633457652e-01   2.1055359430e-03  -4.7652864907e-07
  1.0000000000e+03   5.6484470402e-01   1.6720004764e-03  -4.4887372904e-07
